RESTAURANT;DIRECCION;NOMBRE_PLATO;DESCRIPCION_PLATO;URL
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Plateada + Papas;Plateada de vacuno al vino tinto con papas fritas para compartir, 4 personas.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Lasagna Boloñesa;Lasagna boloñesa familiar, 4 personas.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Pollo + Papas;Un pollo asado para compartir en familia con papas fritas 300 gr, para 4 personas.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Cazuela de Vacuno;El plato mas popular. con todo el sabor característico de sello gourmet.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Pollo Asado con Agregado;Jugoso y fresco pollo asado acompañado con arroz y papas fritas.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Ensalada Cesar Pollo;Ensalada de lechuga, crutones, aderezo cesar de la casa, queso parmesano rallado y pollo, acompañamiento a elegir.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Ensalada Cesar Champiñón;Ensalada de lechuga, crutones, aderezo cesar de la casa, queso parmesano rallado y champiñones, acompañamiento a elegir.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Ensalada Cesar Atún;Ensalada de lechuga, crutones, aderezo cesar de la casa, queso parmesano rallado y atún, acompañamiento a elegir.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Omelette de Champiñon Queso con Agregado;Tortilla de huevo con queso fundido y champiñones salteados con agregado de arroz y papas fritas.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Filete de Pollo a la Plancha con Agregad;Suprema de pollo a la plancha con acompañamiento de arroz y papas fritas.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Pollo a Lo Pobre;Suprema de pollo a la plancha con agregado de papas fritas, cebolla y huevos fritos.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Carne a la Cacerola con Agregado;Carne guisada a la cacerola con acompañamiento de arroz y papas fritas.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Chuleta de Cerdo con Agregado;Chuleta de cerdo con acompañamiento de arroz y papas fritas.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Hamburguesa Casera;Hamburguesa de vacuno casera con lechuga, tomate, cebolla y salsas de la casa, acompañamiento  elegir.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Chuleta a lo Pobre;Chuleta de cerdo acompañada de papas fritas, cebollas salteadas y huevo frito.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Lomo Liso con Agregado;Lomo liso de vacuno a la placha con agregado de arroz y papas fritas.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Lomo a Lo Pobre;Lomo liso de vacuno con agregado de papas fritas, cebolla y huevos fritos.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Poke Bowl Pollo Teriyaki;Exquisito arroz shari acompañado de frescos toppings como palta, cebolla morada, queso crema, choclo, zanahoria, cebollin y pollo crispy.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Poke Bowl Vegetariano;Exquisito arroz shari acompañado de toppings como palta, queso crema, champiñon salteado, repollo morado.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Burger Lenteja;Hamburguesa de lentejas con lechuga, tomate y cebolla.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Burger Garbanzo;Hamburguesa de garbanzos con lechuga, tomate y cebolla.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Sándwich Italiano;Pan con proteína a elegir, palta, tomate y mayo.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Sándwich Luco;Pan con proteína a elegir y queso derretido.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Sándwich Chacarero;Pan con proteína a elegir, poroto verde, ají verde, tomate y mayo.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Empanada de Pino;Empanada de carne picada de vacuno, cebolla, huevo y aceituna.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Empanada Napolitana;Empanada de queso con jamón, tomate, aceituna, orégano.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Empanada Plateada con Queso;Empanada de plateada de vacuno con queso.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Empanada Queso Masa de Hoja;Empanada de queso en masa de hoja.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
Sello Gourmet Chicureo;carretera gral san martin, dentro del strip center Rutamarket, Colina, Región Metropolitana, Chile;Empanada de Queso Frita;Empana de queso frita.;https://www.rappi.cl/restaurantes/900082977-sello-gourmet-chicureo
