;0
0;https://www.rappi.cl/restaurantes/900073835-la-panera-rosa
1;https://www.rappi.cl/restaurantes/471-tea-connection-salads-y-sandwiches
2;https://www.rappi.cl/restaurantes/900030210-del-valle-gourmet-comida-venezolana
3;https://www.rappi.cl/restaurantes/900015192-mestiere
4;https://www.rappi.cl/restaurantes/900038243-empanadas-tomas-moro
5;https://www.rappi.cl/restaurantes/900019815-cafe-diario
6;https://www.rappi.cl/restaurantes/900032292-quererte-cafeteria
7;https://www.rappi.cl/restaurantes/900032563-juan-valdez-cafe
8;https://www.rappi.cl/restaurantes/900022247-jack-the-juicer
9;https://www.rappi.cl/restaurantes/900014524-cafe-melba
10;https://www.rappi.cl/restaurantes/900013777-gras
11;https://www.rappi.cl/restaurantes/900016815-paradiso
12;https://www.rappi.cl/restaurantes/900027782-cafe-bistro-1933
13;https://www.rappi.cl/restaurantes/900040852-el-mundo-de-la-empanada
14;https://www.rappi.cl/restaurantes/900075711-la-areperia-chile
15;https://www.rappi.cl/restaurantes/900016218-daniels-bakery-y-cafe
16;https://www.rappi.cl/restaurantes/900025148-wonderland-cafe
17;https://www.rappi.cl/restaurantes/900057492-q-riko-food-los-especialista-en-cac
18;https://www.rappi.cl/restaurantes/900021533-empanadas-el-matiz
19;https://www.rappi.cl/restaurantes/900016937-emporio-la-rosa
20;https://www.rappi.cl/restaurantes/900023897-green-eat
21;https://www.rappi.cl/restaurantes/900035411-la-punta
22;https://www.rappi.cl/restaurantes/900016059-dunkin
23;https://www.rappi.cl/restaurantes/900016863-subway
24;https://www.rappi.cl/restaurantes/900074204-tavelli
25;https://www.rappi.cl/restaurantes/900015554-kiosko-roca-centro
26;https://www.rappi.cl/restaurantes/900035540-lovdo
27;https://www.rappi.cl/restaurantes/900078095-panaderia-kukin-masa-madre
28;https://www.rappi.cl/restaurantes/900079136-the-breakfast
29;https://www.rappi.cl/restaurantes/900019440-fork
30;https://www.rappi.cl/restaurantes/900021235-mcdonalds
31;https://www.rappi.cl/restaurantes/900026559-wildroots-salad-bary-co
32;https://www.rappi.cl/restaurantes/900035657-delice
33;https://www.rappi.cl/restaurantes/900068637-paramo-the-cake
34;https://www.rappi.cl/restaurantes/900080711-etienne-marcel-las-condes
35;https://www.rappi.cl/restaurantes/900015907-oliva-sano
36;https://www.rappi.cl/restaurantes/900016247-la-mechada-nacional
37;https://www.rappi.cl/restaurantes/900023716-juan-maestro
38;https://www.rappi.cl/restaurantes/900027269-madison-coffee
39;https://www.rappi.cl/restaurantes/900032890-monna
40;https://www.rappi.cl/restaurantes/900035631-q-riko
41;https://www.rappi.cl/restaurantes/900074381-el-mundo-del-tequeno
42;https://www.rappi.cl/restaurantes/900081305-cafe-caramelo
43;https://www.rappi.cl/restaurantes/900015450-tortas-amelia
44;https://www.rappi.cl/restaurantes/900026528-tommy-beans
45;https://www.rappi.cl/restaurantes/900040989-el-mundo-de-las-papas-fritas
46;https://www.rappi.cl/restaurantes/900066533-molleja-e-tequeno
47;https://www.rappi.cl/restaurantes/900080721-etienne-marcel-vitacura
48;https://www.rappi.cl/restaurantes/900017863-empanadas-4k
49;https://www.rappi.cl/restaurantes/900021276-pronto-copec
50;https://www.rappi.cl/restaurantes/900022068-pasteleria-biella
51;https://www.rappi.cl/restaurantes/900027912-starbucks
52;https://www.rappi.cl/restaurantes/900028876-filippo
53;https://www.rappi.cl/restaurantes/900029184-panier
54;https://www.rappi.cl/restaurantes/900074834-la-tequeneria
55;https://www.rappi.cl/restaurantes/900023746-caffe-di-luca
56;https://www.rappi.cl/restaurantes/900027446-kwa-food
57;https://www.rappi.cl/restaurantes/900080712-etienne-marcel-providencia
58;https://www.rappi.cl/restaurantes/900017596-sathiri
59;https://www.rappi.cl/restaurantes/900021941-rincon-venezolano
60;https://www.rappi.cl/restaurantes/900074569-pancitosyu
61;https://www.rappi.cl/restaurantes/900017401-inside-deli-by-tea-connection
62;https://www.rappi.cl/restaurantes/900026708-el-rey-del-completo
63;https://www.rappi.cl/restaurantes/900037641-voila
64;https://www.rappi.cl/restaurantes/900040959-de-pura-madre
65;https://www.rappi.cl/restaurantes/900074749-tequenomania
66;https://www.rappi.cl/restaurantes/900077870-montpellier-cafe
67;https://www.rappi.cl/restaurantes/900067296-panaderia-la-madre
68;https://www.rappi.cl/restaurantes/900078352-la-galera-chile
69;https://www.rappi.cl/restaurantes/900083311-para-veganos-food
70;https://www.rappi.cl/restaurantes/900039156-coppelia
71;https://www.rappi.cl/restaurantes/900067803-get-it-santiago
72;https://www.rappi.cl/restaurantes/900081874-tu-churro
73;https://www.rappi.cl/restaurantes/900077810-que-tentacion-cafe
74;https://www.rappi.cl/restaurantes/900079687-la-chestari
75;https://www.rappi.cl/restaurantes/900028487-almacen-de-sabores
76;https://www.rappi.cl/restaurantes/900028875-cafetaleros
77;https://www.rappi.cl/restaurantes/900073444-mr-keto
78;https://www.rappi.cl/restaurantes/900079259-cafe-56
79;https://www.rappi.cl/restaurantes/900016652-get-it
80;https://www.rappi.cl/restaurantes/900040547-coffee-corner
81;https://www.rappi.cl/restaurantes/900032330-coffe-y-crepes-santiago
82;https://www.rappi.cl/restaurantes/900018400-frosty-shakes
83;https://www.rappi.cl/restaurantes/900067027-mote-con-huesillos-cophie
84;https://www.rappi.cl/restaurantes/900039262-granos-de-cordova
85;https://www.rappi.cl/restaurantes/900041398-la-mil-hoja
86;https://www.rappi.cl/restaurantes/900067035-wenappetit-encomenderos
87;https://www.rappi.cl/restaurantes/900074193-salad-lab
88;https://www.rappi.cl/restaurantes/900032647-mcdonalds-postre
89;https://www.rappi.cl/restaurantes/900081630-madame-grace
90;https://www.rappi.cl/restaurantes/900082646-hamburguesa-parrillera
91;https://www.rappi.cl/restaurantes/900037164-los-caponelli-restorante-italiano
92;https://www.rappi.cl/restaurantes/900081875-la-tavola-di-manolo
93;https://www.rappi.cl/restaurantes/900031461-cafeteria-between
94;https://www.rappi.cl/restaurantes/900074929-pablitos-burguer
95;https://www.rappi.cl/restaurantes/900082886-cafe-jardin-providencia
96;https://www.rappi.cl/restaurantes/900084249-cafe-vita-pizzocas
97;https://www.rappi.cl/restaurantes/900074425-the-work-wings
98;https://www.rappi.cl/restaurantes/900085271-crema-y-nata
99;https://www.rappi.cl/restaurantes/900085304-d-burger
100;https://www.rappi.cl/restaurantes/900085524-woody-coffee-and-bakery
101;https://www.rappi.cl/restaurantes/900074192-panino-lab
102;https://www.rappi.cl/restaurantes/900079129-cafe-precolombino
103;https://www.rappi.cl/restaurantes/900085355-pilaos
104;https://www.rappi.cl/restaurantes/334-the-pizza-factory
105;https://www.rappi.cl/restaurantes/339-la-ruffina
106;https://www.rappi.cl/restaurantes/372-nicecream
107;https://www.rappi.cl/restaurantes/402-mister-fish
108;https://www.rappi.cl/restaurantes/492-romaria-pizzeria
109;https://www.rappi.cl/restaurantes/508-el-brasero
110;https://www.rappi.cl/restaurantes/519-buffalo-waffles
111;https://www.rappi.cl/restaurantes/521-domino
112;https://www.rappi.cl/restaurantes/900014073-palacio-danubio-azul
113;https://www.rappi.cl/restaurantes/900014081-italita
114;https://www.rappi.cl/restaurantes/900014238-pronto-sandwich
115;https://www.rappi.cl/restaurantes/900014412-get-the-wok
116;https://www.rappi.cl/restaurantes/900014549-grido
117;https://www.rappi.cl/restaurantes/900014596-oro-y-carbon
118;https://www.rappi.cl/restaurantes/900014611-carls-jr
119;https://www.rappi.cl/restaurantes/900014636-chicken-factory
120;https://www.rappi.cl/restaurantes/900014654-pizza-hut
121;https://www.rappi.cl/restaurantes/900014665-soul-of-india
122;https://www.rappi.cl/restaurantes/900014819-la-rambla
123;https://www.rappi.cl/restaurantes/900014826-wakai
124;https://www.rappi.cl/restaurantes/900014872-labibe
125;https://www.rappi.cl/restaurantes/900014882-ay-mi-madre
126;https://www.rappi.cl/restaurantes/900014896-mei
127;https://www.rappi.cl/restaurantes/900014905-la-minguita
128;https://www.rappi.cl/restaurantes/900014921-isabella-pizzas-ricas
129;https://www.rappi.cl/restaurantes/900014927-aleman-experto
130;https://www.rappi.cl/restaurantes/900014944-the-chilean
131;https://www.rappi.cl/restaurantes/900014982-sushi-ryge
132;https://www.rappi.cl/restaurantes/900014998-la-fabbrica
133;https://www.rappi.cl/restaurantes/900015008-pf-changs
134;https://www.rappi.cl/restaurantes/900015042-pastas-nenetta
135;https://www.rappi.cl/restaurantes/900015068-telepizza
136;https://www.rappi.cl/restaurantes/900015077-fuente-las-condes
137;https://www.rappi.cl/restaurantes/900015115-sangucheria-petru
138;https://www.rappi.cl/restaurantes/900015128-autentiko-french-tacos
139;https://www.rappi.cl/restaurantes/900015152-sushimi
140;https://www.rappi.cl/restaurantes/900015178-arepas-food-y-shop
141;https://www.rappi.cl/restaurantes/900015199-la-casa-organica
142;https://www.rappi.cl/restaurantes/900015216-chung-hwa
143;https://www.rappi.cl/restaurantes/900015253-oceanika-sushi
144;https://www.rappi.cl/restaurantes/900015257-yiyi
145;https://www.rappi.cl/restaurantes/900015258-chefs
146;https://www.rappi.cl/restaurantes/900015278-tung-fong-comida-china
147;https://www.rappi.cl/restaurantes/900015549-mr-kebab
148;https://www.rappi.cl/restaurantes/900015613-rock-the-food
149;https://www.rappi.cl/restaurantes/900015736-cinnabon
150;https://www.rappi.cl/restaurantes/900015748-restaurant-amistad
151;https://www.rappi.cl/restaurantes/900015749-el-toldo-azul
152;https://www.rappi.cl/restaurantes/900015758-casa-capellan
153;https://www.rappi.cl/restaurantes/900015768-rollin-sushi
154;https://www.rappi.cl/restaurantes/900015805-rosita
155;https://www.rappi.cl/restaurantes/900015806-fukai
156;https://www.rappi.cl/restaurantes/900015833-barbazul
157;https://www.rappi.cl/restaurantes/900015840-dubai-sushi
158;https://www.rappi.cl/restaurantes/900015872-la-perla-del-pacifico
159;https://www.rappi.cl/restaurantes/900015883-mr-jack
160;https://www.rappi.cl/restaurantes/900015959-parrilladas-mas-y-mas
161;https://www.rappi.cl/restaurantes/900015998-tamashi
162;https://www.rappi.cl/restaurantes/900016019-tony-romas
163;https://www.rappi.cl/restaurantes/900016026-waldos
