RESTAURANT;DIRECCION;NOMBRE_PLATO;DESCRIPCION_PLATO
La Panera Rosa;ISIDORA GOYENECHEA 3275 DEPTO. #2 COMUNA LAS CONDES;Medialunas;2 unidades
Tea Connection Salads & Sándwiches;Isidora Goyenechea 3185;Coca Cola Sin Azucar 350ml;Coca cola sin azucar 350ml
Del Valle Gourmet Comida Venezolana;amunategui 75 local 02 santiago region metropolitana chile;Truto Asado;Truto asado + 1 acompañamiento + bebida de lata 220ml.
Mestiere;av vitacura 9013;Croissant Desayuno;Queso fundido, huevos revueltos y tocino en láminas.
Empanadas Tomas Moro;IV Centenario 921, Las Condes, Región Metropolitana, Chile;Coca-Cola Original 1.5 L;Bebida Coca Cola
Café Diario;Encomendero 200 local 3 las condes;Caja Desayuno Continental para Compartir;2 Café de grano, 2 jugo de naranja recién exprimido, 2 fruta, panera con tostadas de masa madre, croissants, pan de chocolate, roll de chocolate, 2 mantequilla, 2 mermelada, jamón de pavo acaramelado, queso, palta y 2 postre de cheesecake de berries.
Quererte Cafetería;Cristobal Colón 5080, Las Condes, Santiago.;Pizza Peperoni;Salsa de tomate + queso mozzarella + pepperoni
Juan Valdez Café;Av. Providencia 1985, Providencia;Sprite Zero;Sprite zero.
Jack The Juicer;Av. Providencia 2392,Providencia, RegiónMetropolitana;Chocolate Caliente;Chocolate Caliente Italiano (350ml)
Café Melba;Av. Pdte. Riesco 5435 , Las Condes, Región Metropolitana;Misiones de Rengo Sauvignon Blanc 187cc;Botella individual de vino blanco sauvignon blanc bien helado.
Gras;Av nueva de lyon 12;Baguette + Love Lemon + Alfajor;Menú $4.990 1 Baguette de 3 ingredientes, 1 Love Lemon 500 ml y un Alfajor Artesanal.
Paradiso;avenida providencia 2238;Galletas de Navidad;200 grs de galletas navideñas .
Café Bistro 1933;Fidel Oteiza 1933 Providencia, Región Metropolitana;Desayuno Happy Box Celebration;1sándwich gourmet, 1 jugo, 1crema de avellana 350gr, 1muffin, 1taza de café, 1barra de chocolate, bombones, bolsa de te.
La Areperia Chile;eyzaguirre 1016;Plato Navideño;Hallaca, pernil, pan de jamon y ensalada de gallina.
Daniel´s Bakery & Café;Celerino Pereira 1530, Ñuñoa, Región Metropolitana;Galletón Avena Pasas;Galleton sin azucar de avena con pasas
Wonderland Café;Rosal 361, Santiago, Región Metropolitana;Capuccino;Cant: 235 ml (un shot de café + leche)café de especialidad.
Empanadas El Matiz;Almirante Latorre 349, Santiago, Región Metropolitana;Combo 4;2 Empanadas de carne mechada con queso, bebida nacional de 350 ml.
Emporio La Rosa;Aguas Claras 1700, locales 3 y 4, La Reina.;PorVenir con Gas 330 ml;Agua
Green Eat;Av. Presidente Kennedy 5413, local 367-A;Sprite Sin Azúcar 350 ml;Gaseosas
La Punta;Los Abedules 3016, Vitacura, Región Metropolitana, Chile;Galletas Nat Crackers Pistacho;Nat crackers pistacho y romero.
