RESTAURANT;DIRECCION;NOMBRE_PLATO;DESCRIPCION_PLATO
Crudo sin Censura;Av. Apoquindo 7022, Las Condes;Promo Crudo + Tartar + Bebida;Crudo para 1 + Tartar de Salmón para 1 + Bebida 1.5lts.
Crudo sin Censura;Av. Apoquindo 7022, Las Condes;Hummus Cremoso;El hummus sin censura es el más cremoso! 250gr de hummus de garbanzo (preparación que lleva garbanzos cocidos, tahini, jugo de limón, ajo) coronado co.
Crudo sin Censura;Av. Apoquindo 7022, Las Condes;Paté Casero;Paté de hígados de pollo, cocinados con mantequilla, ajo, cebolla y un toque de whisky. acompañado de semillas de sésamo y pasas. te recomendamos agre.
Crudo sin Censura;Av. Apoquindo 7022, Las Condes;Crudo para 1;Carne magra y cilantro,jugo de limón,sal,pimienta,aceite oliva.3rebanadas pan,cebolla,ají verde,pepinillos,salsa sin censura.
Crudo sin Censura;Av. Apoquindo 7022, Las Condes;Crudo y Medio;Carne magra 300g,cilantro,jugo limón,sal pimienta,aceite oliva.4rebanadas pan a elec,cebolla,ají,pepinillos,salsa sin censura
Crudo sin Censura;Av. Apoquindo 7022, Las Condes;Crudo para 2;Carne magra con cilantro, jugo limón, sal, pimienta, aceite oliva, rebanada de pan, cebolla, ají verde, pepinillos y salsa sin censura.
Crudo sin Censura;Av. Apoquindo 7022, Las Condes;Crudo para 3;Carne magra y cilantro,jugo limón,sal,pimienta,aceite oliva.9 reb pan a elec,cebolla,ají verde,pepinillo,salsa sin censura. .
Crudo sin Censura;Av. Apoquindo 7022, Las Condes;Crudo para 4;Carne magra y cilantro, jugo limón, sal,pimienta,aceite oliva. 12 pan a elec,cebolla,ají verde,pepinillos, salsa sin censura.
Crudo sin Censura;Av. Apoquindo 7022, Las Condes;Crudo Ecológico para 2;Carne magra con cilantro, jugo limón, sal, pimienta, aceite oliva, cebolla, ají verde, pepinillos, salsa sin censura y 6 panes a elección
Crudo sin Censura;Av. Apoquindo 7022, Las Condes;Tartar de Atún para 2;Tartar de Atún, mostaza, jengibre, soya, ciboulette, cebollín, alcaparras molida, pimienta, tabasco, palta, aderezo maracuyá, jugo limón y con pan ciabatta
Crudo sin Censura;Av. Apoquindo 7022, Las Condes;Tartar de Salmón para 2;Tartar de Salmón, mostaza, limón, jengibre, soya, ciboulete, cebollín, alcaparra, pimienta, tabasco, palta, ciabatta, ají, cebolla y salsa sin censura.
Crudo sin Censura;Av. Apoquindo 7022, Las Condes;Tartar de Salmón para 1;Tartar de salmón, mostaza, jengibre, soya, ciboulette, cebollín, alcaparra, pimienta, tabasco, palta, ciabatta, ají, cebolla, salsa sin censura, limón.
Crudo sin Censura;Av. Apoquindo 7022, Las Condes;Tartar de Atún para 1;Atún mostaza,jengibre,limón,soya,ciboulette,cebollín,alcaparras,pimienta,tabasco,palta. Aderezo maracuyá,ciabatta,jugo limón.
Crudo sin Censura;Av. Apoquindo 7022, Las Condes;Carpaccio Veggie;Carpaccio vegetariano, finas láminas de zapallito italiano, queso parmesano y alcaparras. Con aderezo de aceite de oliva y jugo de limón.
Crudo sin Censura;Av. Apoquindo 7022, Las Condes;Ceviche de Salmón;Ceviche con Cubos de salmón, camarones, cebolla morada, palta, jugo de limón, aceite de oliva, pan Ciabatta y Ají CTM.
Crudo sin Censura;Av. Apoquindo 7022, Las Condes;*Nuevo* Ceviche Vegano;Frescos cubos de champiñones, cebolla morada, pimentón, cilantro, palta, jugo de limón, aceite de oliva, sal y pimienta.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Hamburguesa Mr. Johnny;Hamburguesa 230 grs, pan a elección, láminas palta, tomate, queso mantecoso, cebolla asada, pepinillos, salsa casera, acompañamiento a elección.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Hamburguesa Mr. Jack;Hamburguesa 230 grs, pan a elección, tocino, cebolla caramelizada, queso mantecoso, tomate, pepinillos, salsa jack daniel’s agridulce, acompañamiento a elección.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Hamburguesa Mr. Ring;Hamburguesa 230 grs, pan a elección, aros cebolla apanados, queso cheddar, salsa bbq, pepinillos, lechuga, salsa casera, acompañamiento a elección.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Stk Fries;Crujientes papas fritas cubiertas con salsa stk, cebolla asada, carne, cebolla crispy, huevo frito.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Hungry Fries;Papas fritas, salsa de queso azul, trozos de pollo hot (picante), ensalada coleslaw, cebollin.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;California Fries;Papas fritas , salsa stk, salsa queso cheddar, carne picada, pico de gallo.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Texas Fries;Papas fritas, salsa bbq mayo-tocino, salsa queso cheddar, trozos de hamburguesa, cebollín y tocino crispy.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Mr. Nuggets;12 nuggets de pollo apanados, acompañados de papas fritas, con salsas bbq mayo y mostaza miel.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Camarones Tempura;12 Camarones ecuatorianos tempurizados, acompañados de salsa spring (leve picante y agridulce).
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Hungry Bird Hot;Muslo de pollo apanado con salsa red hot, queso cheddar, palta, coleslaw, cebollita encurtida, salsa casera,  en pan brioche.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Chicken Cubano;Pollo grillado, jamón artesanal ahumado, queso mantecoso, pepinillos, salsa dijonnaise en pan molde hawaiian.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Smoked Salmon;Salmón ahumado en frío, queso crema, palta, alcaparras, rúcula, cebolla morada, salsa dijonnaise, en pan de molde hawaiian.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Hungry Bird;Muslo de pollo apanado, queso cheddar, palta, coleslaw, cebollita encurtida, salsa casera en pan brioche.  con papas fritas o bastones de verduras.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Chicken Ranchero;Muslo de pollo apanado, tocino, queso mantecoso, lechuga con salsa ranch, mayo chipotle(picante), pepinillos en pan brioche.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Tempura Shrimp;Camarones tempurizados, palta molida, lechuga picada con salsa ranch, tomate, cebollita encurtida, mayo chipotle (leve picante), limon. en pan brioche.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Hamburguesa Mr. Jack;Hamburguesa 230 grs, pan a elección, tocino, cebolla caramelizada, queso mantecoso, tomate, pepinillos, salsa jack daniel’s agridulce, acompañamiento a elección.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Hamburguesa Mr. Ring;Hamburguesa 230 grs, pan a elección, aros cebolla apanados, queso cheddar, salsa bbq, pepinillos, lechuga, salsa casera, acompañamiento a elección.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Hamburguesa Mr. Johnny;Hamburguesa 230 grs, pan a elección, láminas palta, tomate, queso mantecoso, cebolla asada, pepinillos, salsa casera, acompañamiento a elección.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Hamburguesa Mr. Fred;Hamburguesa 230 g, pan a elección, huevo frito, queso cheddar, tocino horneado, cebolla caramelizada, pepinillos, salsa bbq mayo, acompañamiento a elección.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Hamburguesa Mr. 3 Cheese;Hamburguesas 230 grs, pan a elección, mezcla de 3 quesos, azul, mantecoso y cheddar, champiñones salteados, cebolla caramelizada y rúcula.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Hamburguesa Mr. T;Dos burger de 230 grs, queso cheddar y mantecoso, tocino, cebolla asada, pepinillos, lechuga, salsa casera con papas fritas o bastones de verduras.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Hamburguesa Mr. Vegana;Doble hamburguesa smash, a base de legumbres, queso cheddar vegano, tomate, cebolla asada, lechuga hidropónica, pepinillos y salsa casera vegana.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Hamburguesa Mr. Blue;Hamburguesa 230 grs, queso azul, champiñones salteados, cebolla caramelizada y rúcula.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Hamburguesa Mr. Ribs;Burger, costilla de cerdo desmenuzada, queso mantecoso, cebolla caramelizada, pepinillos y salsa umami.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Hamburguesa Mr. Panko Chesse;Burger, queso mozzarella apanado, cebolla asada, lechuga, tomate  y salsa stk.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Burger 4 X 4;4 burgers estilo smash,  4 capas de cheddar, pepinillos, cebolla, salsa casera, ketchup y mostaza. Acompañada de papas fritas.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Surf & Turf;Hamburguesa, camarones tempurizados. queso crema, lechuga, mayo chipotle (leve picante) y limón. acompañada de papas fritas.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Hamburguesa Cheese Burger;Hamburguesa de carne premium 130 g, pan brioche, doble cheddar, onion ring, tocino crispy, salsa casera, acompañamiento a elección.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Hamburguesa Bacon;Hamburguesa de carne premium 130 g, pan brioche, tocino, cheddar americano, cebolla grillada, pepinillo, salsa casera, acompañamiento a elección.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Hamburguesa Italian;Hamburguesa de carne premium 130 g, pan brioche, palta, tomate, mayo, acompañamiento a elección.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Hamburguesa Crunchy;Hamburguesa de muslo de pollo apanado, doble queso cheddar, tomate, lechuga, salsa casera, pan brioche, acompañamiento a elección.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Hamburguesa Classic;Hamburguesa de carne premium 130 g, pan brioche, cheddar americano, cebolla grillada, tomate, lechuga, salsa casera, acompañamiento a elección.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Arma Tu Burger Mediana;Hamburguesa mediana de 130 g y acompañamiento a elección.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Arma Tu Burger Clásica;Hamburguesa clásica de 230 g y acompañamiento a elección
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Junior Cheeseburger;Hamburguesa casera  para los mas pequeños de 130 g, en pan brioche tostado con mantequilla, cheddar, acompañada de papas fritas.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Junior Bacon;Hamburguesa casera para los mas pequeños de 130 g, en pan brioche tostado con mantequilla, cheddar, tocino, acompañada de papas fritas.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Junior Avocado;Hamburguesa casera para los mas pequeños de 130 g, en pan brioche tostado con mantequilla, cheddar, palta molida, acompañada de papas fritas.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Junior C. L. T.;Hamburguesa casera para los mas pequeños de 130 g, en pan brioche tostado con mantequilla, cheddar, lechuga, tomate, acompañada de papas fritas.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Salmón Salad;Ensalada salmón ahumado, mix hojas verdes, palta, queso crema, naranja, sésamo, dressing a elección.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Serrano Salad;Ensalada jamón serrano, mix hojas verdes, queso brie, castañas de cajú, champiñones, frutillas, dressing a elección.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Cesar Salad;Pechuga de pollo grillada, mix de hojas verdes, queso parmesano, crutones y  dressing cesar.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Mr. Cheesecake;Cheesecake horneado sobre fina masa de galletas con mantequilla, salsa a elección.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Torta de Chocolate;Delicioso bizcocho de chocolate, relleno de crema de chocolate y dulce de leche.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Coca-Cola Original  350ml;Bebida.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Coca-Cola sin Azúcar 350 ml;Bebida.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Coca-Cola Light 350 ml;Bebida.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Fanta Naranja 350ml;Bebida.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Sprite 350 ml;Bebida.
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Sprite Zero 350 ml;Bebida
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Fanta Sin Azúcar 350 ml;Bebida
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Pepsi Light 310 ml;Bebida
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Pepsi Original 350 ml;Bebida
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Pepsi Zero 350 ml;Bebida
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;PorVenir Sin Gas 330 ml;Agua
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;PorVenir Con Gas 330 ml;Agua
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Canada Dry Agua Tónica 350 ml;Tónica
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Bilz Original 350 ml;Bebida
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Pap Original 350 ml;Bebida
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Limón Soda 350 ml;Bebida
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Canada Dry Ginger Ale Light 310 ml;Bebida
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;Canada Dry Ginger Ale 350 ml;Bebida
