RESTAURANT;DIRECCION;TELEFONO
KFC;Av. José Pedro Alessandri 1166, Ñuñoa, Región Metropolitana;Telefono no encontrado
Tea Connection Salads & Sándwiches;Isidora Goyenechea 3185;9 6682 0083
Carl's Jr.;Av. El Bosque Nte. 92, Las Condes, Región Metropolitana, Chile;Telefono no encontrado
SUSHI HOY;Julio Prado 1935, Ñuñoa, Región Metropolitana, Chile;(2) 2742 7325
Mr. Jack;Av. La Dehesa 1201, Lo Barnechea, Chile;(2) 2470 9764
KFC;Suecia 45, Providencia, (Entrada por calle Suecia Bajando las escaleras de la nueva linea 6);Telefono no encontrado
La Cabrera al Paso;Alonso de Córdova 4263;9 3236 1687
Niu Sushi;Av. La Dehesa 1201, Lo Barnechea, Santiago, Región Metropolitana, Chile;(2) 2247 9001
Mistura del Perú;Santa Isabel 0496, Providencia;(2) 2980 1992
Sushi Blues;Avenida Vitacura 2911;Telefono no encontrado
Eladio;Av. Ossa 2234, La Reina, Chile;9 9530 4537
Empanadas Tomas Moro;IV Centenario 921, Las Condes, Región Metropolitana, Chile;(2) 2220 8079
Kento;Avenida la dehesa 3372;(2) 3233 4954
Niu Sushi;Av Vitacura 4607, Vitacura, Región Metropolitana, Chile;(2) 2759 7818
Yapones;emilia tellez 5372 nunoa region metropolitana chile;9 3720 6363
Juicy Lucy;Av. La Dehesa 1445, Lo Barnechea, Región Metropolitana;9 5067 9404
Sushi Ryge;Manuel Montt 1221, Providencia;(2) 3224 6900
McDonald's;Avenida La Dehesa 1987, Lo Barnechea;Telefono no encontrado
Barra Chalaca;(OJO: RETIRO EN BARRA CHALACA)Av. La Dehesa 1445, Lo Barnechea, Región Metropolitana, Chile, Local 1106;Telefono no encontrado
Fuente mardoqueo;Bilbao 2639 , Providencia;(2) 2341 7499
Gras;Av nueva de lyon 12;(2) 2233 4688
Palacio Danubio Azul;Reyes Lavalle 3240;(2) 2234 4688
Burger King®;av José Pedro alessandri 1166 local 4051 ñuñoa;9 8556 6977
Café Melba;Av. Pdte. Riesco 5435 , Las Condes, Región Metropolitana;(2) 2213 5063
La Casona del Ají Seco;Avenida Manuel Montt 652, Providencia;9 6543 4835
Wonderland Café;Rosal 361, Santiago, Región Metropolitana;9 4472 3229
Mei;7203, Cristóbal Colón, Las Condes, Región Metropolitana;(2) 2342 3246
Arepas Food and Shop Providencia;luis thayer ojeda 95, providencia;(2) 3245 9422
Rocoto;Av. Pedro de Valdivia 2573, Ñuñoa;(2) 2274 6071
El Pollo Caballo;Av. Manuel Antonio Matta 379, Santiago;(2) 2222 9771
Green Eat;Av. Presidente Kennedy 5413, local 367-A;Telefono no encontrado
Melt Pizzas;Av. Macul 3638, Macul, Santiago, Chile;(2) 2393 8400
Pollo Del Ocho;Vicuña Mackenna 5559, San Joaquín, Chile;(2) 2283 9626
Little Caesars Pizza;Padre Alfredo Arteaga Barros 1771;(2) 3278 3204
Lovdo;Av. Providencia 1393, Providencia, Chile Local 11;Telefono no encontrado
Alemán Experto;Pedro de Valdivia 1683, Providencia;(2) 2906 2538
Tanta;Av. Andres Bello 2447, Local 5160;(2) 2618 9754
Subway;Metro tobalaba , al lado de la boleteria;(2) 2234 5223
Chicken Factory;Av Macul 2555 Macul Región Metropolitana, local 4;Telefono no encontrado
Entre Pastas;Rojas Magallanes 2648, La Florida, Región Metropolitana;9 3097 6235
Perú Gustoso;Av. Pedro de Valdivia 139, Providencia, Región Metropolitana;(2) 2231 7075
Panadería Kukin Masa Madre;Gerónimo de Alderete 1643, Vitacura, Región Metropolitana, Chile;9 4273 4359
El Ají Seco Mistico;Enrique Mac Iver 366, Santiago, Región Metropolitana;(2) 2434 6269
El Sol Sublime;Príncipe de Gales 6580 La Reina Región Metropolitana;(2) 2226 1145
McDonald's;(ESTACIONAR EN ZONA ESTACIONAMIENTO) Av. José Pedro Alessandri 1165 Ñuñoa Región Metropolitana;Telefono no encontrado
Oriental;Av. Ossa 1881, La Reina, Región Metropolitana;(2) 2226 0779
Fork;El Bosque Nte 83, Las Condes, Región Metropolitana;Telefono no encontrado
Chicken Love You;Geronimo de Alderete 1121;9 6470 8620
Chicken Love You;Robles 13001, Lo Barnechea, Chile_;Telefono no encontrado
Hojaldes;Mardoqueo Fernandez 93;(32) 379 3240
Páramo The Cake;Huérfanos 2418, Santiago, Región Metropolitana, Chile;9 7906 7747
Barrio Perú;Curicó 565 Santiago, Región Metropolitana;9 4435 3084
Guoshun;Vicuña Mackenna 630, Providencia, Providencia;(2) 3283 9448
Etienne Marcel Las Condes;Asturias 350, Las Condes, Chile;Telefono no encontrado
Caramagnola;Av. Francisco Bilbao 2704, Providencia, Región Metropolitana;(2) 3266 9030
oliva Sano;San antonio 389 local 3 santiago;9 5255 7459
Olivo Limón;Av. Cristobal Colon 4659, Las Condes,;(65) 275 1911
Gelateria Italia;Av. Providencia 1975, Santiago, Providencia, Región Metropolitana;Telefono no encontrado
