;Nombre Restaurant;URL RESTAURANT
0;Pasteleria La Pajarera;https://www.rappi.cl/restaurantes/900036526-pasteleria-la-pajarera
1;SUSHI HOY;https://www.rappi.cl/restaurantes/900073428-sushi-hoy
2;La Embajada;https://www.rappi.cl/restaurantes/900073038-la-embajada
3;La Cabrera al Paso;https://www.rappi.cl/restaurantes/900025822-la-cabrera-al-paso
4;Mistura del Perú;https://www.rappi.cl/restaurantes/900028761-mistura-del-peru
5;Sushi Ko Go Express;https://www.rappi.cl/restaurantes/900038534-sushi-ko-go-express
6;Koychi Comida Coreana;https://www.rappi.cl/restaurantes/900083392-koychi-comida-coreana
7;Eladio;https://www.rappi.cl/restaurantes/900030003-eladio
8;Pez Zoom Cevicheria;https://www.rappi.cl/restaurantes/900073516-pez-zoom-cevicheria
9;Yapones;https://www.rappi.cl/restaurantes/900031225-yapones
10;Sushi Ryge;https://www.rappi.cl/restaurantes/900014982-sushi-ryge
11;Barrio Chicken;https://www.rappi.cl/restaurantes/900075472-barrio-chicken
12;Fuente mardoqueo;https://www.rappi.cl/restaurantes/900040848-fuente-mardoqueo
13;Palacio Danubio Azul;https://www.rappi.cl/restaurantes/900014073-palacio-danubio-azul
14;La Casona del Ají Seco;https://www.rappi.cl/restaurantes/900018611-la-casona-del-aji-seco
15;Niu Sushi;https://www.rappi.cl/restaurantes/900077947-niu-sushi
16;Mei;https://www.rappi.cl/restaurantes/900014896-mei
17;Rocoto;https://www.rappi.cl/restaurantes/900018686-rocoto
18;Kobo Sushi;https://www.rappi.cl/restaurantes/900023957-kobo-sushi
19;Pollo Del Ocho;https://www.rappi.cl/restaurantes/900030822-pollo-del-ocho
20;Lovdo;https://www.rappi.cl/restaurantes/900069539-lovdo
21;Alemán Experto;https://www.rappi.cl/restaurantes/900014927-aleman-experto
22;Tanta;https://www.rappi.cl/restaurantes/900031827-tanta
23;Perú Gustoso;https://www.rappi.cl/restaurantes/900014956-peru-gustoso
24;Tamashi;https://www.rappi.cl/restaurantes/900015999-tamashi
25;El Ají Seco Mistico;https://www.rappi.cl/restaurantes/900020535-el-aji-seco-mistico
26;El Sol Sublime;https://www.rappi.cl/restaurantes/900020690-el-sol-sublime
27;Pollo Loco;https://www.rappi.cl/restaurantes/900021924-pollo-loco
28;Take a Wok;https://www.rappi.cl/restaurantes/900022804-take-a-wok
29;Filippo;https://www.rappi.cl/restaurantes/900028876-filippo
30;Pao Ching;https://www.rappi.cl/restaurantes/900030772-pao-ching
31;Pita House;https://www.rappi.cl/restaurantes/900014674-pita-house
32;Barrio Perú;https://www.rappi.cl/restaurantes/900018504-barrio-peru
33;El Japonés;https://www.rappi.cl/restaurantes/900023285-el-japones
34;Caramagnola;https://www.rappi.cl/restaurantes/900026061-caramagnola
35;Olivo Limón;https://www.rappi.cl/restaurantes/900026262-olivo-limon
36;Gelateria Italia;https://www.rappi.cl/restaurantes/900026535-gelateria-italia
37;Ají Seco del Inca;https://www.rappi.cl/restaurantes/900029328-aji-seco-del-inca
38;Norkys;https://www.rappi.cl/restaurantes/900032891-norkys
39;Doc Popcorn;https://www.rappi.cl/restaurantes/900038272-doc-popcorn
40;Sushi Blues;https://www.rappi.cl/restaurantes/900065952-sushi-blues
41;Little Caesars Pizza;https://www.rappi.cl/restaurantes/371-little-caesars-pizza
42;El Puro Perú;https://www.rappi.cl/restaurantes/900015085-el-puro-peru
43;Mr Qiu;https://www.rappi.cl/restaurantes/900015356-mr-qiu
44;Calle y Barrio;https://www.rappi.cl/restaurantes/900024906-calle-y-barrio
45;Fuente Suiza;https://www.rappi.cl/restaurantes/900025428-fuente-suiza
46;Tres Generaciones;https://www.rappi.cl/restaurantes/900027306-tres-generaciones
47;Piso Uno;https://www.rappi.cl/restaurantes/900029325-piso-uno
48;La Gran Muralla China;https://www.rappi.cl/restaurantes/900032517-la-gran-muralla-china
49;D´gang - Sandwich Club;https://www.rappi.cl/restaurantes/900041352-dgang-sandwich-club
50;Soho Thai;https://www.rappi.cl/restaurantes/900069733-soho-thai
51;Street Wrap;https://www.rappi.cl/restaurantes/900073392-street-wrap
52;The Raj;https://www.rappi.cl/restaurantes/900014614-the-raj
53;Tokyo Limeño;https://www.rappi.cl/restaurantes/900014860-tokyo-limeno
54;Chung Hwa;https://www.rappi.cl/restaurantes/900015216-chung-hwa
55;Tung Fong Comida China;https://www.rappi.cl/restaurantes/900015278-tung-fong-comida-china
56;Rollin Sushi;https://www.rappi.cl/restaurantes/900015768-rollin-sushi
57;Noah sushi;https://www.rappi.cl/restaurantes/900016926-noah-sushi
58;La Ensaladería;https://www.rappi.cl/restaurantes/900016963-la-ensaladeria
59;El Pollo Caballo;https://www.rappi.cl/restaurantes/900017439-el-pollo-caballo
60;Melt Pizzas;https://www.rappi.cl/restaurantes/900018447-melt-pizzas
61;Cocinero de los Mares;https://www.rappi.cl/restaurantes/900019025-cocinero-de-los-mares
62;Tempura Sushi;https://www.rappi.cl/restaurantes/900022670-tempura-sushi
63;Barra Chalaca;https://www.rappi.cl/restaurantes/900022812-barra-chalaca
64;Centurión Resto Bar;https://www.rappi.cl/restaurantes/900026175-centurion-resto-bar
65;Sushi Yuko;https://www.rappi.cl/restaurantes/900026525-sushi-yuko
66;Donde la Tía Sonia;https://www.rappi.cl/restaurantes/900026576-donde-la-tia-sonia
67;Pescados Capitales;https://www.rappi.cl/restaurantes/900027867-pescados-capitales
68;El Rinconcito;https://www.rappi.cl/restaurantes/900028644-el-rinconcito
69;El Gran Ají Seco;https://www.rappi.cl/restaurantes/900029327-el-gran-aji-seco
70;Mi lomo pe;https://www.rappi.cl/restaurantes/900041098-mi-lomo-pe
71;Ají Peruano;https://www.rappi.cl/restaurantes/900073973-aji-peruano
72;Tung Fong Guardia Vieja Comida China;https://www.rappi.cl/restaurantes/900014658-tung-fong-guardia-vieja-comida-chin
73;Oceanika Sushi;https://www.rappi.cl/restaurantes/900015253-oceanika-sushi
74;Thai Express;https://www.rappi.cl/restaurantes/900015301-thai-express
75;Ruta Tercera Comida China;https://www.rappi.cl/restaurantes/900017583-ruta-tercera-comida-china
76;Almacén Peruano;https://www.rappi.cl/restaurantes/900018155-almacen-peruano
77;Curry;https://www.rappi.cl/restaurantes/900018689-curry
78;Amus Buch;https://www.rappi.cl/restaurantes/900021485-amus-buch
79;Puerto Ceviche;https://www.rappi.cl/restaurantes/900025088-puerto-ceviche
80;Salvadora;https://www.rappi.cl/restaurantes/900026464-salvadora
81;Muu Steak;https://www.rappi.cl/restaurantes/900026748-muu-steak
82;Ramen One;https://www.rappi.cl/restaurantes/900030169-ramen-one
83;Pochito's Gastronomía Peruana;https://www.rappi.cl/restaurantes/900064748-pochitos-gastronomia-peruana
84;Doble Queso;https://www.rappi.cl/restaurantes/900070320-doble-queso
85;Get the wok.;https://www.rappi.cl/restaurantes/900014412-get-the-wok
86;Misotorino;https://www.rappi.cl/restaurantes/900015046-misotorino
87;Comida China Biyi;https://www.rappi.cl/restaurantes/900017278-comida-china-biyi
88;Fu Lin;https://www.rappi.cl/restaurantes/900017700-fu-lin
89;China Village;https://www.rappi.cl/restaurantes/900026045-china-village
90;Comida China Wynn;https://www.rappi.cl/restaurantes/900027075-comida-china-wynn
